Title,Teacher,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Academic-year
Redressement des notes obtenues par différentes formes d’évaluation,KHENTOUT née HARBOUCHE  Khadidja,Maitre de conferences classe B,TRUE,IFIA,IDTW,F3I,RSD,GL,2021-2022
Mesure de similarité et classification des profils comportementaux des apprenants fondées sur des réseaux de neurones,KHENTOUT née HARBOUCHE  Khadidja,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,2021-2022
Content based Recommender System using Deep Learning,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,TRUE,IDTW,F3I,IFIA,RSD,GL,2021-2022
Collaborative Recommender System using Deep Learning,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,TRUE,IDTW,F3I,IFIA,RSD,GL,2021-2022
A Hybrid recommendation algorithm for learning resources,ZAIMEN née MEDIANI  Chahrazed,Maitre de conferences classe B,TRUE,F3I,IDTW,IFIA,RSD,GL,2021-2022
Resources Allocation and scheduling problems,MECHTA  Djamila,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Artificial Intelligence-powered edge computing,MECHTA  Djamila,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Security in critical IoMT and IIoT,MECHTA  Djamila,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Bio-inspired based Power routing in P2P energy trading systems,MECHTA  Djamila,Maitre de conferences classe A,TRUE,IFIA,RSD,IDTW,F3I,GL,2021-2022
Formalisation des Protocoles d'Interaction dans les SMA,LAOUADI  Mohamed Amin,Maitre de conferences classe B,TRUE,IFIA,IDTW,RSD,F3I,GL,2021-2022
Vérification des protocoles d’interaction dans les SMA,LAOUADI  Mohamed Amin,Maitre de conferences classe B,TRUE,IFIA,IDTW,RSD,F3I,GL,2021-2022
Un nouveau paradigme de sécurité pour les réseaux de drones utilisant un système immunitaire artificiel,BEGHRICHE  Abdesselem,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,GL,F3I,2021-2022
un routage efficace pour les réseaux de drones basé sur le comprtement des peinguins.,BEGHRICHE  Abdesselem,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
Secure Clock Synchronization in Wireless Sensor Networks,AISSAOUA  Habib,Maitre de conferences classe B,TRUE,RSD,IFIA,IDTW,F3I,GL,2021-2022
